date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
20:37.9,6,2000,1600,8000,10000,89.50%,29.28%,89.50%,89.50%,89.50%,89.49%,87.08%,,,,,,,,,,,,,
40:38.1,7,2000,1600,8000,10000,83.50%,39.80%,83.50%,83.50%,83.50%,83.19%,86.57%,,,,,,,,,,,,,
00:41.1,8,2000,1600,8000,10000,89.50%,29.29%,89.50%,89.50%,89.50%,89.50%,86.94%,,,,,,,,,,,,,
20:36.4,9,2000,1600,8000,10000,87.50%,35.94%,87.50%,87.50%,87.50%,87.50%,87.00%,,,,,,,,,,,,,
40:40.7,10,2000,1600,8000,10000,89.50%,30.41%,89.50%,89.50%,89.50%,89.49%,87.25%,,,,,,,,,,,,,
00:46.0,1,2000,1600,10000,12000,87.00%,27.81%,87.00%,87.00%,87.00%,86.81%,87.00%,,,,,,,,,,,,,
20:43.5,2,2000,1600,10000,12000,87.00%,33.38%,87.00%,87.00%,87.00%,86.89%,87.00%,,,,,,,,,,,,,
40:53.6,3,2000,1600,10000,12000,85.50%,39.92%,85.50%,85.50%,85.50%,84.99%,86.50%,,,,,,,,,,,,,
00:59.7,4,2000,1600,10000,12000,87.00%,28.81%,87.00%,87.00%,87.00%,86.84%,86.63%,,,,,,,,,,,,,
21:13.6,5,2000,1600,10000,12000,87.00%,31.14%,87.00%,87.00%,87.00%,86.56%,86.70%,,,,,,,,,,,,,
41:18.9,6,2000,1600,10000,12000,86.50%,29.62%,86.50%,86.50%,86.50%,86.47%,86.67%,,,,,,,,,,,,,
01:22.1,7,2000,1600,10000,12000,89.00%,28.41%,89.00%,89.00%,89.00%,88.96%,87.00%,,,,,,,,,,,,,
21:31.3,8,2000,1600,10000,12000,85.50%,29.27%,85.50%,85.50%,85.50%,85.04%,86.81%,,,,,,,,,,,,,
41:32.1,9,2000,1600,10000,12000,89.00%,26.88%,89.00%,89.00%,89.00%,88.96%,87.06%,,,,,,,,,,,,,
