date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
34:31.8,2,500,528,4000,4500,89.00%,29.81%,89.00%,89.00%,89.00%,88.87%,81.50%,,,,,,,,,,,,,
39:12.5,3,500,528,4000,4500,87.00%,32.69%,87.00%,87.00%,87.00%,86.97%,83.33%,,,,,,,,,,,,,
43:50.8,4,500,528,4000,4500,85.00%,39.34%,85.00%,85.00%,85.00%,84.16%,83.75%,,,,,,,,,,,,,
48:29.2,5,500,528,4000,4500,88.00%,34.32%,88.00%,88.00%,88.00%,87.92%,84.60%,,,,,,,,,,,,,
53:19.2,1,500,545,4500,5000,85.00%,35.42%,85.00%,85.00%,85.00%,84.65%,85.00%,,,,,,,,,,,,,
58:05.1,2,500,545,4500,5000,91.00%,29.84%,91.00%,91.00%,91.00%,90.89%,88.00%,,,,,,,,,,,,,
02:50.8,3,500,545,4500,5000,82.00%,36.40%,82.00%,82.00%,82.00%,80.69%,86.00%,,,,,,,,,,,,,
07:38.1,4,500,545,4500,5000,82.00%,46.24%,82.00%,82.00%,82.00%,81.25%,85.00%,,,,,,,,,,,,,
12:24.0,5,500,545,4500,5000,87.00%,37.36%,87.00%,87.00%,87.00%,86.94%,85.40%,,,,,,,,,,,,,
17:14.1,1,500,543,5000,5500,83.00%,41.08%,83.00%,83.00%,83.00%,82.98%,83.00%,,,,,,,,,,,,,
22:00.9,2,500,543,5000,5500,85.00%,41.67%,85.00%,85.00%,85.00%,84.88%,84.00%,,,,,,,,,,,,,
26:47.0,3,500,543,5000,5500,88.00%,40.81%,88.00%,88.00%,88.00%,87.92%,85.33%,,,,,,,,,,,,,
31:31.3,4,500,543,5000,5500,71.00%,73.90%,71.00%,71.00%,71.00%,69.66%,81.75%,,,,,,,,,,,,,
36:18.1,5,500,543,5000,5500,82.00%,46.01%,82.00%,82.00%,82.00%,81.93%,81.80%,,,,,,,,,,,,,
41:00.8,1,500,524,5500,6000,73.00%,63.87%,73.00%,73.00%,73.00%,70.88%,73.00%,,,,,,,,,,,,,
45:40.2,2,500,524,5500,6000,85.00%,40.19%,85.00%,85.00%,85.00%,85.00%,79.00%,,,,,,,,,,,,,
50:17.9,3,500,524,5500,6000,87.00%,31.72%,87.00%,87.00%,87.00%,87.00%,81.67%,,,,,,,,,,,,,
54:56.6,4,500,524,5500,6000,79.00%,44.82%,79.00%,79.00%,79.00%,78.74%,81.00%,,,,,,,,,,,,,
59:35.7,5,500,524,5500,6000,81.00%,43.29%,81.00%,81.00%,81.00%,80.91%,81.00%,,,,,,,,,,,,,
04:23.1,1,500,533,6000,6500,92.00%,25.69%,92.00%,92.00%,92.00%,91.92%,92.00%,,,,,,,,,,,,,
09:03.1,2,500,533,6000,6500,85.00%,39.45%,85.00%,85.00%,85.00%,84.99%,88.50%,,,,,,,,,,,,,
13:46.2,3,500,533,6000,6500,92.00%,26.63%,92.00%,92.00%,92.00%,91.97%,89.67%,,,,,,,,,,,,,
18:26.8,4,500,533,6000,6500,93.00%,20.26%,93.00%,93.00%,93.00%,92.97%,90.50%,,,,,,,,,,,,,
23:07.5,5,500,533,6000,6500,65.00%,67.02%,65.00%,65.00%,65.00%,63.39%,85.40%,,,,,,,,,,,,,
27:57.9,1,500,541,6500,7000,89.00%,22.87%,89.00%,89.00%,89.00%,88.81%,89.00%,,,,,,,,,,,,,
32:43.0,2,500,541,6500,7000,86.00%,35.17%,86.00%,86.00%,86.00%,85.42%,87.50%,,,,,,,,,,,,,
37:41.4,3,500,541,6500,7000,85.00%,32.71%,85.00%,85.00%,85.00%,84.74%,86.67%,,,,,,,,,,,,,
43:38.8,4,500,541,6500,7000,78.00%,49.71%,78.00%,78.00%,78.00%,74.29%,84.50%,,,,,,,,,,,,,
48:24.2,5,500,541,6500,7000,69.00%,66.79%,69.00%,69.00%,69.00%,60.21%,81.40%,,,,,,,,,,,,,
53:13.3,1,500,530,7000,7500,76.00%,49.05%,76.00%,76.00%,76.00%,75.99%,76.00%,,,,,,,,,,,,,
57:53.2,2,500,530,7000,7500,78.00%,66.23%,78.00%,78.00%,78.00%,77.68%,77.00%,,,,,,,,,,,,,
02:34.9,3,500,530,7000,7500,70.00%,75.55%,70.00%,70.00%,70.00%,67.82%,74.67%,,,,,,,,,,,,,
15:50.0,4,500,530,7000,7500,78.00%,49.50%,78.00%,78.00%,78.00%,77.68%,75.50%,,,,,,,,,,,,,
20:31.8,5,500,530,7000,7500,85.00%,36.82%,85.00%,85.00%,85.00%,85.00%,77.40%,,,,,,,,,,,,,
32:08.2,1,500,547,7500,8000,91.00%,26.96%,91.00%,91.00%,91.00%,90.93%,91.00%,,,,,,,,,,,,,
36:56.8,2,500,547,7500,8000,87.00%,36.47%,87.00%,87.00%,87.00%,86.70%,89.00%,,,,,,,,,,,,,
41:45.7,3,500,547,7500,8000,84.00%,49.00%,84.00%,84.00%,84.00%,83.33%,87.33%,,,,,,,,,,,,,
46:34.7,4,500,547,7500,8000,88.00%,33.06%,88.00%,88.00%,88.00%,87.76%,87.50%,,,,,,,,,,,,,
51:23.1,5,500,547,7500,8000,81.00%,48.95%,81.00%,81.00%,81.00%,80.29%,86.20%,,,,,,,,,,,,,
03:04.3,1,500,546,8000,8500,81.00%,39.25%,81.00%,81.00%,81.00%,80.91%,81.00%,,,,,,,,,,,,,
07:50.8,2,500,546,8000,8500,86.00%,28.23%,86.00%,86.00%,86.00%,85.80%,83.50%,,,,,,,,,,,,,
